iter	Passed	Remaining
974	53628	1375
975	53696	1320
976	53760	1265
977	53826	1210
978	53893	1156
979	53955	1101
980	54016	1046
981	54075	991
982	54143	936
983	54215	881
984	54287	826
985	54353	771
986	54417	716
987	54484	661
988	54562	606
989	54625	551
990	54698	496
991	54761	441
992	54828	386
993	54902	331
994	54973	276
995	55038	221
996	55106	165
997	55167	110
998	55234	55
999	55307	0
